Graffiti,Cercanía a puntos de interés ,Nivel de accesibilidad ,Visibilidad ,Tipo de espacio ,Frecuencia de visitas al área ,Técnica utilizada ,Formato,Complejidad visual ,Tamaño del arte ,Colores dominantes ,Tonalidad predominante ,Saturación,Contraste entre colores ,Monocromático o policromático ,Temas representados ,Enfoque,Narrativa,Uso de metáforas visuales ,Elementos simbólicos específicos ,Influencias culturales ,Iconografía religiosa o espiritual ,Simbolismo político o social ,Duración esperada ,Condiciones de conservación ,Factores de deterioro visibles ,Frecuencia de mantenimiento o restauración 
093,Plaza,Público,Baja,Muro privado,Baja,"Arte urbano, graffiti",0,Detallado,Mediano,"rojo, blanco, negro",Cálidos,Baja,Media,Policromático,Naturaleza,Comunitario,Abstracta,Sí,vaca,Ninguna identificable,No,No,Permanente,Deteriorada,Exposición al clima,Ninguna
094,Plaza,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Mediano,"negro, rojo, blanco, verde",Cálidos,Media,Media,Policromático,"Política, Firma de artista, Letras, Arte Abstracto",Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
095,Plaza,Público,Baja,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,negro,Cálidos,Media,Media,Monocromático,"Firma de artista, Letras",Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Permanente,Regular,Ninguno,Ninguna
096,Plaza,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,negro,Neutros,Alta,Media,Monocromático,Política,Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Ninguno,Ninguna
097,Calle,Público,Baja,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Mediano,negro,Neutros,Baja,Baja,Monocromático,"Letras, Amor",Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Deteriorada,Exposición al clima,Ninguna
098,Plaza,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Mediano,"rojo, verde",Cálidos,Alta,Alta,Monocromático,"Letras, Fútbol",Individual,Explícita,No,logo GB,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
099,Calle,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,negro,Cálidos,Alta,Alta,Monocromático,Política,Individual,Explícita,No,ninguno,Ninguna identificable,No,Sí,Temporal,Buena,Ninguno,Ninguna
100,Plaza,Público,Baja,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,negro,Cálidos,Alta,Media,Monocromático,"Letras, Amor",Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,vegetacion,Ninguna
101,Plaza,Público,Media,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Mediano,rojo,Cálidos,Alta,Media,Monocromático,Amor,Individual,Abstracta,Sí,corazon,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
102,Terreno eriazo,Público,Alta,Muro público,Alta,"Arte urbano, graffiti",1,Detallado,Mediano,"verde, rojo, negro",Cálidos,Baja,Media,Policromático,Letras,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
103,Terreno eriazo,Público,Baja,Muro privado,Baja,"Arte urbano, graffiti",1,Detallado,Mediano,"azul, verde",Fríos,Baja,Media,Policromático,Letras,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Ninguno,Ninguna
104,Iglesia,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",0,Detallado,Monumental,mixto,Neutros,Alta,Alta,Policromático,Espiritualidad o religión,Comunitario,Abstracta,Sí,"uva, niños, animales, arcoiris",Ninguna identificable,Sí,No,Permanente,Buena,Ninguno,Frecuente
105,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Mediano,negro,Cálidos,Alta,Alta,Monocromático,Firma de artista,Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
106,Iglesia,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",0,Detallado,Monumental,mixto,Neutros,Alta,Alta,Policromático,Espiritualidad o religión,Comunitario,Abstracta,Sí,"uva, niños, animales, arcoiris",Ninguna identificable,Sí,No,Permanente,Buena,Ninguno,Frecuente
107,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Mediano,negro,Cálidos,Media,Media,Monocromático,Política,Individual,Explícita,No,ninguno,Ninguna identificable,No,Sí,Temporal,Regular,Exposición al clima,Ninguna
108,Plaza,Público,Media,Muro privado,Media,"Arte urbano, graffiti",0,Detallado,Monumental,mixto,Fríos,Alta,Media,Policromático,"Mitología, Naturaleza",Comunitario,Explícita,Sí,animal prehistorico,Ninguna identificable,No,No,Permanente,Regular,Vandalismo,Ninguna
109,Plaza,Público,Media,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Mediano,negro,Cálidos,Media,Alta,Monocromático,"Resistencia social, Letras",Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Censura,Ninguna
110,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",0,Detallado,Monumental,mixto,Fríos,Alta,Alta,Policromático,"Política, Musica",Comunitario,Explícita,No,Guitarra,Influencia Local,No,Sí,Temporal,Buena,Ninguno,Frecuente
111,Plaza,Público,Baja,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,negro,Cálidos,Media,Alta,Monocromático,Letras,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Ninguno,Ninguna
112,Escuela,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",0,Detallado,Grande,mixto,Cálidos,Alta,Alta,Policromático,Educación,Comunitario,Explícita,Sí,Animales,Ninguna identificable,No,No,Permanente,Buena,Ninguno,Ocasional
113,Plaza,Público,Baja,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,negro,Cálidos,Alta,Media,Monocromático,"Firma de artista, Fútbol",Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
114,Calle,Público,Baja,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,negro,Cálidos,Media,Media,Monocromático,Amor,Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
115,Calle,Semi-privado,Baja,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,negro,Cálidos,Alta,Alta,Monocromático,Amor,Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
116,Plaza,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Grande,negro,Cálidos,Alta,Alta,Monocromático,"Firma de artista, Letras",Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Exposición al clima,Ninguna
117,Escuela,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",0,Intrincado,Monumental,"blanco, negro",Fríos,Baja,Alta,Monocromático,"Mitología, Firma de artista, Letras",Individual,Abstracta,Sí,mano y ojo,Ninguna identificable,Sí,No,Temporal,Buena,Vandalismo,Ninguna
118,línea del tren,Semi-privado,Media,Muro privado,Baja,"Arte urbano, graffiti",1,Intrincado,Mediano,mixto,Cálidos,Media,Media,Policromático,"Cultura pop, Firma de artista, Letras, Arte Abstracto, Amor",Individual,Abstracta,No,ninguno,Occidental,No,No,Temporal,Deteriorada,Vandalismo,Ninguna
119,línea del tren,Semi-privado,Media,Muro privado,Baja,"Arte urbano, graffiti",1,Detallado,Monumental,mixto,Fríos,Media,Media,Policromático,"Mitología, Naturaleza, Firma de artista, Letras, Arte Abstracto",Individual,Abstracta,Sí,Animal,Ninguna identificable,Sí,No,Temporal,Regular,Exposición al clima,Ninguna
120,línea del tren,Semi-privado,Media,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,amarillo,Cálidos,Alta,Media,Monocromático,"Letras, Arte Abstracto",Individual,Abstracta,Sí,rostro,Ninguna identificable,No,No,Temporal,Regular,Censura,Ninguna
121,Calle,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",0,Detallado,Monumental,Mixto,Cálidos,Alta,Alta,Policromático,Fútbol,Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Permanente,Buena,Ninguno,Ninguna
122,Calle,Público,Baja,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Mediano,rojo,Cálidos,Alta,Media,Monocromático,Amor,Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Desgaste del muro,Ninguna
123,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Pequeño,rojo,Cálidos,Alta,Alta,Monocromático,Fútbol,Comunitario,Explícita,No,U,Influencia local,No,No,Temporal,Buena,Ninguno,Ninguna
124,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",0,Detallado,Grande,mixto,Cálidos,Alta,Alta,Policromático,Empresa,Individual,Explícita,No,Perro,Ninguna identificable,No,No,Permanente,Buena,Ninguno,Ninguna
125,Estación de transporte,Restringido,Media,Vagón de tren,Baja,"Arte urbano, graffiti",1,Detallado,Mediano,Mixto,Neutros,Alta,Alta,Policromático,"Firma de artista, Letras",Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
126,Calle,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",1,Detallado,Mediano,mixto,Cálidos,Alta,Alta,Policromático,"Firma de artista, Letras, Números",Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Vandalismo,Ninguna
127,Estación de transporte,Restringido,Media,Muro privado,Baja,"Arte urbano, graffiti",1,Detallado,Grande,mixto,Fríos,Alta,Media,Policromático,"Mitología, Naturaleza, Espiritualidad o religión",Comunitario,Abstracta,No,mujer,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
128,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Pequeño,blanco,Fríos,Alta,Alta,Monocromático,Firma de artista,Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
129,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Mediano,negro,Cálidos,Alta,Alta,Monocromático,"Firma de artista, Arte Abstracto, Mùsica",Individual,Abstracta,Sí,dibujo de rostro con 23 (jordan 23),Ninguna identificable,No,No,Temporal,Buena,Desgaste del muro,Ninguna
130,Plaza,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Grande,verde,Cálidos,Alta,Alta,Policromático,"Firma de artista, Letras",Individual,Abstracta,No,ninguno,Occidental,No,No,Temporal,Buena,Vandalismo,Ninguna
131,Plaza,Público,Alta,Calle,Alta,"Arte urbano, graffiti",1,Simple,Mediano,blanco,Cálidos,Alta,Alta,Monocromático,Resistencia social,Individual,Explícita,Sí,simbolo mapuche,Ninguna identificable,No,Sí,Temporal,Buena,Ninguno,Ninguna
132,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",0,Detallado,Monumental,"Negro, Rojo, Blanco",Cálidos,Alta,Alta,Policromático,"Letras, Empresa, Deporte",Global,Explícita,Sí,Cadenas,Occidental,No,Sí,Permanente,Buena,Ninguno,Ocasional
133,Plaza,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Grande,"verde, negro",Cálidos,Alta,Alta,Policromático,Naturaleza,Individual,Abstracta,No,Dinosaurio,Occidental,No,No,Temporal,Buena,Ninguno,Ninguna
134,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Intrincado,Monumental,"Blanco, NEgro",Cálidos,Alta,Alta,Policromático,"Mitología, Naturaleza, Firma de artista, Letras, Arte Abstracto",Individual,Abstracta,Sí,Hoja Marihuana,Occidental,No,No,Temporal,Buena,Ninguno,Ninguna
135,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Monumental,"naranjo, negro, Morado",Cálidos,Alta,Media,Policromático,"Mitología, Letras, Arte Abstracto",Individual,Abstracta,No,Manos,Occidental,No,No,Temporal,Buena,Desgaste del muro,Ninguna
136,Estación de transporte,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",0,Detallado,Monumental,verde,Cálidos,Alta,Alta,Policromático,"Naturaleza, Letras, Empresa",Comunitario,Explícita,Sí,Picaflor,Indígena,No,No,Permanente,Buena,Ninguno,Frecuente
137,Estación de transporte,Público,Alta,Muro privado,Alta,Surrealismo,0,Detallado,Monumental,"azul, blanco, amarillo",Cálidos,Alta,Alta,Policromático,"Mitología, Arte Abstracto",Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Permanente,Regular,Desgaste del muro,Ninguna
138,Calle,Público,Alta,Calle,Alta,"Arte urbano, graffiti",1,Detallado,Monumental,mixto,Cálidos,Alta,Alta,Policromático,"Naturaleza, Letras, Arte Abstracto",Individual,Abstracta,No,dinosaurio,Occidental,No,No,Temporal,Regular,Exposición al clima,Ninguna
139,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Grande,"azul, rosado",Cálidos,Alta,Media,Policromático,"Cultura pop, Letras",Individual,Abstracta,Sí,Pantera rosa,Occidental,No,No,Temporal,Buena,Desgaste del muro,Ninguna
140,Calle,Público,Media,Muro privado,Alta,"Arte urbano, graffiti",1,Intrincado,Monumental,"amarillo, negro",Cálidos,Media,Media,Policromático,"Mitología, Letras, Arte Abstracto",Individual,Abstracta,Sí,Bruja,Occidental,No,No,Temporal,Deteriorada,Desgaste del muro,Ninguna
141,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Grande,"blanco, azul, verde",Fríos,Alta,Alta,Policromático,"Resistencia social, Firma de artista, Letras",Individual,Explícita,No,ninguno,Occidental,No,No,Temporal,Buena,Ninguno,Ninguna
142,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Monumental,"azul, verde",Fríos,Media,Baja,Policromático,"Cultura pop, Firma de artista, Letras, Arte Abstracto, Fútbol",Individual,Abstracta,No,estrella,Occidental,No,No,Temporal,Regular,Vandalismo,Ninguna
143,Calle,Semi-privado,Media,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Grande,"blanco, negro",Cálidos,Alta,Alta,Policromático,"Firma de artista, Letras, Arte Abstracto",Individual,Explícita,No,ninguno,Occidental,No,No,Temporal,Deteriorada,Desgaste del muro,Ninguna
144,Escuela,Público,Alta,Muro privado,Alta,Minimalismo,0,Detallado,Monumental,"verde, cafe",Cálidos,Alta,Alta,Policromático,"Naturaleza, Letras, Amor, Educación",Comunitario,Explícita,Sí,"Niños,mariposas",Indígena,No,No,Permanente,Buena,Ninguno,Ocasional
145,Calle,Público,Media,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Grande,"azul, amarillo",Fríos,Media,Media,Policromático,Firma de artista,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Desgaste del muro,Ninguna
146,Estación de transporte,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Monumental,"negro, azul",Fríos,Media,Media,Policromático,"Firma de artista, Letras, Arte Abstracto",Individual,Abstracta,Sí,ninguno,Ninguna identificable,No,No,Temporal,Regular,Desgaste del muro,Ninguna
147,Estación de transporte,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Grande,"amarillo, azul",Fríos,Media,Media,Policromático,Letras,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Desgaste del muro,Ninguna
148,Plaza,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Intrincado,Monumental,"rojo, amarillo verde",Cálidos,Alta,Alta,Policromático,"Resistencia social, Política, Firma de artista, Letras, Arte Abstracto",Comunitario,Explícita,Sí,bandera palestina,Oriental,No,Sí,Permanente,Buena,Vandalismo,Ninguna
149,Estación de transporte,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Intrincado,Mediano,azul,Fríos,Alta,Alta,Policromático,"Firma de artista, Letras",Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Ninguno,Ninguna
150,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Monumental,"blanco, negro, amarillo",Cálidos,Alta,Alta,Policromático,"Resistencia social, Firma de artista, Letras",Individual,Abstracta,No,Spray,Ninguna identificable,No,No,Temporal,Buena,Vandalismo,Ninguna
151,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Intrincado,Monumental,mixto,Fríos,Alta,Alta,Policromático,"Firma de artista, Letras",Individual,Abstracta,No,ninguno,Occidental,No,No,Temporal,Buena,Ninguno,Ninguna
152,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Grande,mixto,Cálidos,Media,Media,Policromático,"Mitología, Naturaleza, Letras",Individual,Abstracta,Sí,pajaros,Indígena,No,No,Temporal,Deteriorada,Desgaste del muro,Ninguna
153,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Mediano,"blanco, negro",Fríos,Media,Media,Policromático,"Firma de artista, Letras",Individual,Explícita,Sí,cats,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
154,Universidad,Público,Alta,Monumento,Alta,"Arte urbano, graffiti",1,Simple,Mediano,morado,Cálidos,Alta,Alta,Monocromático,Firma de artista,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
155,Universidad,Público,Alta,Muro privado,Alta,Surrealismo,0,Detallado,Grande,"negro,naranjo, amarillo",Cálidos,Alta,Alta,Policromático,"Cultura pop, Empresa",Individual,Explícita,Sí,sushi,Oriental,No,No,Temporal,Buena,Ninguno,Ocasional
156,Universidad,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Grande,"azul, verde, blanco, negro, rojo",Fríos,Alta,Media,Policromático,"Mitología, Naturaleza, Letras, Arte Abstracto",Individual,Abstracta,No,hojas,Indígena,No,No,Temporal,Deteriorada,Vandalismo,Ninguna
157,Universidad,Público,Baja,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Mediano,"amarillo, azul, negro",Fríos,Alta,Alta,Policromático,"Letras, Arte Abstracto, Amor",Individual,Abstracta,Sí,corona,Ninguna identificable,No,No,Temporal,Regular,Ninguno,Ninguna
158,Universidad,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Monumental,"azul, amarillo",Fríos,Alta,Media,Policromático,"Mitología, Letras",Individual,Abstracta,No,ninguno,Occidental,No,No,Temporal,Regular,Exposición al clima,Ninguna
159,Calle,Público,Baja,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,café,Cálidos,Baja,Media,Monocromático,"Resistencia social, Letras, Sexual",Individual,Explícita,No,perro matapaco,Ninguna identificable,No,Sí,Temporal,Regular,Ninguno,Ninguna
160,Calle,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",1,Detallado,Grande,"blanco, negro, morado",Fríos,Baja,Alta,Policromático,"Naturaleza, Letras, Arte Abstracto",Individual,Abstracta,Sí,elefante,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
161,Calle,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",1,Detallado,Mediano,"blanco, negro,  morado",Fríos,Media,Media,Policromático,Letras,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
162,Calle,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",1,Detallado,Grande,"blanco, negro, verde,a zul",Fríos,Media,Alta,Policromático,Mitología,Individual,Abstracta,Sí,dragón,Oriental,No,No,Temporal,Buena,Ninguno,Ninguna
163,Calle,Público,Baja,Muro privado,Baja,"Arte urbano, graffiti",1,Detallado,Grande,"negro, morado, verde",Neutros,Alta,Alta,Policromático,Naturaleza,Individual,Abstracta,No,pavoreal,Ninguna identificable,No,No,Temporal,Regular,Vegetación,Ninguna
164,Calle,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",1,Detallado,Grande,mixto,Neutros,Alta,Alta,Policromático,"Mitología, Espiritualidad o religión",Individual,Abstracta,No,máscara,Indígena,No,No,Temporal,Buena,Ninguno,Ninguna
165,Calle,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",1,Detallado,Grande,mixto,Cálidos,Media,Alta,Policromático,Naturaleza,Individual,Abstracta,No,"puma, pajaro",Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
166,Calle,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Monumental,azul,Fríos,Baja,Baja,Monocromático,Letras,Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
167,Universidad,Público,Media,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Mediano,"negro, rojo",Cálidos,Alta,Alta,Policromático,"Cultura pop, Letras, Amor",Individual,Explícita,No,personaje de videojuego,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
168,Universidad,Público,Baja,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Pequeño,negro,Cálidos,Alta,Alta,Monocromático,Firma de artista,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Desgaste del muro,Ninguna
169,Universidad,Público,Baja,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Mediano,blanco,Fríos,Media,Media,Monocromático,Fútbol,Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Desgaste del muro,Ninguna
170,Universidad,Público,Baja,Muro privado,Baja,"Arte urbano, graffiti",1,Detallado,Grande,verde,Neutros,Media,Alta,Policromático,Letras,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Ninguno,Ninguna
171,Universidad,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Mediano,negro,Neutros,Alta,Alta,Monocromático,Resistencia social,Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
172,Universidad,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Mediano,"negro, blanco, rojo",Cálidos,Alta,Media,Policromático,"Firma de artista, Letras, Arte Abstracto, Amor",Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Vandalismo,Ninguna
173,Universidad,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Simple,Mediano,negro,Cálidos,Alta,Alta,Policromático,"Resistencia social, Letras",Comunitario,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Ninguno,Ninguna
174,Universidad,Público,Baja,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Grande,"negro, morado",Cálidos,Alta,Alta,Policromático,Arte Abstracto,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
175,Universidad,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Grande,"naranjo, rojo, azul",Cálidos,Media,Media,Policromático,"Letras, Arte Abstracto",Individual,Abstracta,No,ninguno,Occidental,No,No,Temporal,Buena,Ninguno,Ninguna
176,Universidad,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Grande,"rojo, blanco",Cálidos,Alta,Alta,Policromático,"Letras, Arte Abstracto",Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
177,Universidad,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Grande,"azul, negro, blanco",Fríos,Alta,Alta,Policromático,Arte Abstracto,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
178,Universidad,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",0,Detallado,Grande,"azul, cafe, amarillo",Fríos,Alta,Alta,Policromático,"Mitología, Naturaleza",Individual,Abstracta,Sí,crustáceo ,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
179,Universidad,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",1,Detallado,Grande,mixto,Cálidos,Media,Alta,Policromático,Letras,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
180,Universidad,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Grande,"azul, blanco, amarillo",Fríos,Media,Media,Policromático,"Firma de artista, Letras",Individual,Abstracta,Sí,ninguno,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
181,Universidad,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Intrincado,Grande,"negro, rojo",Cálidos,Alta,Alta,Policromático,"Firma de artista, Letras",Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Desgaste del muro,Ninguna
182,Universidad,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Monumental,"azul, negro, blanco",Fríos,Alta,Alta,Policromático,"Letras, Arte Abstracto",Individual,Abstracta,No,ninguno,Occidental,No,No,Temporal,Regular,Exposición al clima,Ninguna
183,Universidad,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Detallado,Grande,"azul, negro",Fríos,Baja,Media,Policromático,Letras,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Deteriorada,vegetación,Ninguna
184,Escuela,Público,Baja,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Pequeño,rojo,Cálidos,Baja,Media,Monocromático,Letras,Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Deteriorada,Desgaste del muro,Ninguna
185,Escuela,Público,Media,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Grande,"negro, rojo",Cálidos,Media,Alta,Monocromático,"Resistencia social, Firma de artista, Letras, Arte Abstracto, Sexual",Individual,Explícita,No,ninguno,Ninguna identificable,No,Sí,Temporal,Deteriorada,Desgaste del muro,Ninguna
186,Escuela,Público,Media,Muro privado,Baja,"Arte urbano, graffiti",1,Detallado,Grande,"amarillo, azul, verde",Cálidos,Media,Media,Policromático,"Mitología, Firma de artista, Letras, Arte Abstracto",Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
187,Escuela,Público,Media,Muro privado,Baja,"Arte urbano, graffiti",1,Simple,Mediano,negro,Cálidos,Media,Media,Monocromático,"Firma de artista, Letras",Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Desgaste del muro,Ninguna
188,Universidad,Público,Baja,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Mediano,blanco,Fríos,Media,Baja,Monocromático,"Firma de artista, Letras",Individual,Abstracta,No,ninguno,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
189,Universidad,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Grande,negro,Cálidos,Alta,Alta,Monocromático,Letras,Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Deteriorada,Desgaste del muro,Ninguna
190,Escuela,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",1,Simple,Pequeño,negro,Cálidos,Alta,Alta,Monocromático,Firma de artista,Individual,Explícita,No,ninguno,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
191,Escuela,Público,Baja,Muro privado,Baja,Abstracto,1,Simple,Mediano,"morado, negro",Cálidos,Media,Media,Monocromático,"Resistencia social, Sexual",Individual,Explícita,No,ninguno,Ninguna identificable,No,Sí,Temporal,Regular,Desgaste del muro,Ninguna
